temps(ms),C,alpha,simulations,position,recompenses,,
300,0.44,0.1,819222,0.7502508743315427,140,,
300,0.44,0.1,861997,1.2976419340667866,70,,
300,0.44,0.1,857304,0.6906618324315114,140,,
300,0.44,0.1,846786,1.350363032763008,70,,
300,0.44,0.1,865431,0.9346909657237868,140,,
300,0.44,0.1,870781,0.7950089829500128,140,,
300,0.44,0.1,868562,0.7858317906748582,140,,
300,0.44,0.1,854602,1.8203339706649149,170,,
300,0.44,0.1,861309,0.7536063873625892,140,,
300,0.44,0.1,851765,0.6189339480680272,140,,
300,0.44,0.1,798951,1.634053406044512,70,,
300,0.44,0.1,889465,0.5900729522384794,140,,
300,0.44,0.1,881587,0.554429217788215,140,,
300,0.44,0.1,883417,1.328114805748942,70,,
300,0.44,0.1,844911,1.317277154509574,70,,
300,0.44,0.1,887022,0.7746812679293328,140,,
300,0.44,0.1,898701,0.9000713630245066,140,,
300,0.44,0.1,884122,1.2747933695116727,70,,
300,0.44,0.1,901005,0.9841150426443381,140,,
300,0.44,0.1,861968,0.6149431163964708,140,,
300,0.44,0.1,890520,0.8989201863452082,140,,
300,0.44,0.1,844825,0.8879997526553948,140,,
300,0.44,0.1,882263,0.9034391120014729,140,,
300,0.44,0.1,889063,0.05669134680712895,140,,
300,0.44,0.1,854371,1.4264234470572164,70,,
300,0.44,0.1,894326,0.8529136718486784,140,,
300,0.44,0.1,850340,0.7386794198261614,140,,
300,0.44,0.1,868839,1.5096944086124136,70,,
300,0.44,0.1,882052,0.5485946297222158,140,,
300,0.44,0.1,858342,1.29592379700258,70,,
300,0.44,0.1,870597,0.7203884190611498,140,,
300,0.44,0.1,833924,1.0512623560972236,70,,
300,0.44,0.1,871056,1.6852874776683877,70,,
300,0.44,0.1,875727,0.6614928026739102,140,,
300,0.44,0.1,834175,1.4841645144900686,70,,
300,0.44,0.1,889013,0.26707612755759846,140,,
300,0.44,0.1,864127,0.6473289864886611,140,,
300,0.44,0.1,889746,0.9722945256263771,140,,
300,0.44,0.1,869391,1.2422744704606927,70,,
300,0.44,0.1,891471,0.8658651273661969,140,,
300,0.44,0.1,884526,0.5769516146060092,140,,
300,0.44,0.1,857855,1.428858230415559,70,,
300,0.44,0.1,889374,0.6731416562277305,140,,
300,0.44,0.1,874296,1.6657790166809754,70,,
300,0.44,0.1,889677,0.8212130899004696,140,,
300,0.44,0.1,836901,0.6740293305973059,140,,
300,0.44,0.1,855118,1.041728713438505,70,,
300,0.44,0.1,837055,0.7038764377458842,140,,
300,0.44,0.1,856998,0.46355214106404286,140,,
300,0.44,0.1,863626,0.06506591910857751,140,,
300,0.44,0.1,842307,0.8530002234793841,140,,
300,0.44,0.1,862600,1.8879799408845521,170,,
300,0.44,0.1,848677,0.5985997480561628,140,,
300,0.44,0.1,893919,0.5762058402002957,140,,
300,0.44,0.1,848305,1.4093193939507038,70,,
300,0.44,0.1,858508,0.9490946349829946,140,,
300,0.44,0.1,825774,1.3917180890465939,70,,
300,0.44,0.1,876338,0.6188941717226591,140,,
300,0.44,0.1,861583,1.1304374714856673,70,,
300,0.44,0.1,868943,0.6761331294934129,140,,
300,0.44,0.1,888162,0.6834339861126014,140,,
300,0.44,0.1,824384,1.835221107516177,170,,
300,0.44,0.1,836064,1.2278018134672344,70,,
300,0.44,0.1,892369,0.8549243037836558,140,,
300,0.44,0.1,856837,1.6252463457637822,70,,
300,0.44,0.1,862145,0.8841897640182403,140,,
300,0.44,0.1,856909,0.5553743319102651,140,,
300,0.44,0.1,894614,0.9489405720229037,140,,
300,0.44,0.1,879944,0.9799242676842059,140,,
300,0.44,0.1,866285,1.3824813076082745,70,,
300,0.44,0.1,882886,0.9012352906961064,140,,
300,0.44,0.1,873367,1.9788300144721962,170,,
300,0.44,0.1,860266,1.5644103389583766,70,,
300,0.44,0.1,866074,1.0038473257845038,70,,
300,0.44,0.1,887372,0.6114757561696199,140,,
300,0.44,0.1,844137,1.735586798991099,170,,
300,0.44,0.1,891150,0.8908670712547059,140,,
300,0.44,0.1,873110,0.43118514945187114,140,,
300,0.44,0.1,856543,1.485570818491766,70,,
300,0.44,0.1,861713,1.401031344964637,70,,
300,0.44,0.1,881268,0.9992109649741652,140,,
300,0.44,0.1,851551,1.5323266657479138,70,,
300,0.44,0.1,857422,1.0801365575627035,70,,
300,0.44,0.1,874492,0.9322494926841794,140,,
300,0.44,0.1,833649,1.367448393023942,70,,
300,0.44,0.1,885722,0.9039537938587362,140,,
300,0.44,0.1,890487,0.9055783009295223,140,,
300,0.44,0.1,903561,0.2674656765588327,140,,
300,0.44,0.1,870676,0.3145412181353542,140,,
300,0.44,0.1,902328,0.9996939035718265,140,,
300,0.44,0.1,856210,1.868923515350313,170,,
300,0.44,0.1,873669,1.7758986583142853,170,,
300,0.44,0.1,864095,1.635867135866361,70,,
300,0.44,0.1,870381,1.1921444387979525,70,,
300,0.44,0.1,867936,1.0180884338241032,70,,
300,0.44,0.1,860183,1.4959313268823458,70,,
300,0.44,0.1,867995,0.7301325241953756,140,,
300,0.44,0.1,852573,0.17531455853050693,140,,
300,0.44,0.1,875606,0.9326412426381055,140,,
300,0.44,0.1,857947,0.6816235453805788,140,"866775,38",119
300,0.44,0.2,146163,0.7768404059598756,140,,
300,0.44,0.2,145589,0.2478143001583748,140,,
300,0.44,0.2,145876,0.3946025338443452,140,,
300,0.44,0.2,145589,1.1629273123509103,70,,
300,0.44,0.2,146738,0.8591714669209976,140,,
300,0.44,0.2,147027,0.8293445654297528,140,,
300,0.44,0.2,147027,0.9780663372753218,140,,
