temps(ms),C,alpha,simulations,position,recompenses,,
1000,0.44,0.1,1882536,0.9565719148197952,140,,
1000,0.44,0.1,2017692,1.1163942858931475,70,,
1000,0.44,0.1,2079791,0.9683264458486418,140,,
1000,0.44,0.1,1976125,0.9422789855283817,140,,
1000,0.44,0.1,1974271,1.1884685292125705,70,,
1000,0.44,0.1,1991221,0.5273770012938731,140,,
1000,0.44,0.1,2035835,0.8948856072483433,140,,
1000,0.44,0.1,2001220,1.308023874733833,70,,
1000,0.44,0.1,2055294,0.8187722459318034,140,,
1000,0.44,0.1,1942097,1.3068179106629447,70,,
1000,0.44,0.1,2085679,0.38047375433191244,140,,
1000,0.44,0.1,2080143,0.7604618936655623,140,,
1000,0.44,0.1,2046868,0.8943829974882667,140,,
1000,0.44,0.1,2111696,0.4813193288191674,140,,
1000,0.44,0.1,2097359,0.4849548217189591,140,,
1000,0.44,0.1,2032952,1.7151214685754261,170,,
1000,0.44,0.1,2076593,0.48002733713219004,140,,
1000,0.44,0.1,2078431,0.835973000077302,140,,
1000,0.44,0.1,2031380,1.6276271577207904,70,,
1000,0.44,0.1,2088338,0.8946089490178586,140,,
1000,0.44,0.1,2077622,0.898126784380122,140,,
1000,0.44,0.1,2036352,1.4016026230903635,70,,
1000,0.44,0.1,2061668,0.8297999946008695,140,,
1000,0.44,0.1,2035442,1.2388796513814526,70,,
1000,0.44,0.1,2051346,0.43841210094843996,140,,
1000,0.44,0.1,2002882,0.773504767292801,140,,
1000,0.44,0.1,1947865,1.5758114240394883,70,,
1000,0.44,0.1,1958586,1.697044110502877,70,,
1000,0.44,0.1,2018883,1.2960989881674023,70,,
1000,0.44,0.1,1996895,0.3266916031033621,140,,
1000,0.44,0.1,2042530,1.9038694849355562,170,,
1000,0.44,0.1,2081298,0.4696483904843415,140,,
1000,0.44,0.1,1927850,1.7149323081460965,170,,
1000,0.44,0.1,1951594,1.8517101447429025,170,,
1000,0.44,0.1,2052752,0.5890335248962522,140,,
1000,0.44,0.1,2049957,0.6395237665118487,140,,
1000,0.44,0.1,2113513,0.6482056729637569,140,,
1000,0.44,0.1,2003236,0.9869683562125416,140,,
1000,0.44,0.1,2106554,0.6733529494348479,140,,
1000,0.44,0.1,1899514,0.5574236596599408,140,,
1000,0.44,0.1,2033069,0.6692143694660608,140,,
1000,0.44,0.1,1992333,1.2356187179218736,70,,
1000,0.44,0.1,1995819,1.0475804603619028,70,,
1000,0.44,0.1,2039254,0.7885869385063664,140,,
1000,0.44,0.1,1971603,1.1061384637141594,70,,
