temps(ms),C,alpha,simulations,position,recompenses,,
400,0.44,0.1,1288803,1.3062158825027215,70,,
400,0.44,0.1,1133158,0.8412767961406774,140,,
400,0.44,0.1,1140642,0.9879555057340274,140,,
400,0.44,0.1,1128994,0.9799869846782178,140,,
400,0.44,0.1,1149858,0.674301292284614,140,,
400,0.44,0.1,1097633,1.5962199358513955,70,,
400,0.44,0.1,1142012,1.8597560900212713,170,,
400,0.44,0.1,1131004,1.1934395821450912,70,,
400,0.44,0.1,1159757,0.7292208451417685,140,,
400,0.44,0.1,1076235,0.8931916186937707,140,,
400,0.44,0.1,1125388,0.626679222337283,140,,
400,0.44,0.1,1134019,0.5280404240798084,140,,
400,0.44,0.1,1148262,1.00590573925442,70,,
400,0.44,0.1,1057210,0.4600308004076977,140,,
400,0.44,0.1,1092290,1.4430153341600362,70,,
400,0.44,0.1,1148309,0.9395106776746729,140,,
400,0.44,0.1,1147811,0.25578339606386513,140,,
400,0.44,0.1,1162960,0.7452624760289592,140,,
400,0.44,0.1,1139752,0.6973051413089566,140,,
400,0.44,0.1,1083283,0.8914930449729649,140,,
400,0.44,0.1,1161272,0.9048440153032808,140,,
400,0.44,0.1,1152628,0.7911088543797851,140,,
400,0.44,0.1,1063013,0.6282715366585524,140,,
400,0.44,0.1,1112802,0.396388493510587,140,,
400,0.44,0.1,1166057,0.7706494045873635,140,,
400,0.44,0.1,1125212,0.7638276583595804,140,,
400,0.44,0.1,1148765,1.8401310078468902,170,,
400,0.44,0.1,1140848,1.304703576741037,70,,
400,0.44,0.1,1126488,0.26094342173865015,140,,
400,0.44,0.1,1143995,0.8947995083773737,140,,
400,0.44,0.1,1095408,0.7611632305281066,140,,
400,0.44,0.1,1141351,0.4814974227337113,140,,
400,0.44,0.1,1034402,0.9784018867180017,140,,
400,0.44,0.1,972242,1.2777160802831147,70,,
400,0.44,0.1,1078798,1.6917016953589052,70,,
400,0.44,0.1,1147316,0.8608254005832048,140,,
400,0.44,0.1,1136729,0.5753003135107161,140,,
400,0.44,0.1,1126416,1.245616418758006,70,,
400,0.44,0.1,1112390,1.2454850011964584,70,,
400,0.44,0.1,1154058,1.6960755913228536,70,,
400,0.44,0.1,1150835,1.4687106560318886,70,,
400,0.44,0.1,1184625,0.4768383022992594,140,,
400,0.44,0.1,1179682,0.06048417678987883,140,,
400,0.44,0.1,1172021,0.566160327259992,140,,
400,0.44,0.1,1137779,1.312822580505982,70,,
400,0.44,0.1,1173954,0.5434937380397785,140,,
400,0.44,0.1,1132150,1.8539411106049275,170,,
400,0.44,0.1,1049115,1.4773755280205094,70,,
400,0.44,0.1,1123585,1.165786492470442,70,,
400,0.44,0.1,1131166,1.3024484137190961,70,,
400,0.44,0.1,1111211,1.2589178230203,70,,
400,0.44,0.1,1118307,0.905977821859207,140,,
400,0.44,0.1,1134559,0.5820063185187297,140,,
400,0.44,0.1,1109628,1.6807112964598252,70,,
400,0.44,0.1,1124890,0.45532683542136587,140,,
400,0.44,0.1,1141479,0.8732650575610889,140,,
400,0.44,0.1,1103796,1.5915768280981077,70,,
400,0.44,0.1,1127228,1.1968056717228435,70,,
400,0.44,0.1,1109693,1.6507393339384882,70,,
400,0.44,0.1,1135066,1.730543484641053,170,,
400,0.44,0.1,1112123,0.8090311577843035,140,,
400,0.44,0.1,1138358,1.4621468747267037,70,,
400,0.44,0.1,995891,0.8031829291576806,140,,
400,0.44,0.1,1130822,1.2772620504235488,70,,
400,0.44,0.1,1124138,1.240181151440012,70,,
400,0.44,0.1,1086460,1.2854935797389997,70,,
400,0.44,0.1,1145211,0.46007040831214663,140,,
400,0.44,0.1,1096848,0.8520197390355716,140,,
400,0.44,0.1,1112837,0.846244332268704,140,,
400,0.44,0.1,1158565,0.24554571825194327,140,,
400,0.44,0.1,1119616,1.8863083300874013,170,,
400,0.44,0.1,1107006,1.3621719781727695,70,,
400,0.44,0.1,1092494,1.7578719927494062,170,,
400,0.44,0.1,1102999,0.7083176120760317,140,,
400,0.44,0.1,1077134,1.630043605685154,70,,
400,0.44,0.1,1031098,0.8332314619372425,140,,
400,0.44,0.1,1119370,0.41510522385975546,140,,
400,0.44,0.1,1123389,1.0002520472614695,70,,
400,0.44,0.1,1102357,0.9799697717524378,140,,
400,0.44,0.1,965605,0.722344690598221,140,,
400,0.44,0.1,1119601,0.6897431600757622,140,,
400,0.44,0.1,1154741,0.43451646003192523,140,,
400,0.44,0.1,1096838,0.462700303681557,140,,
400,0.44,0.1,1128557,0.7707250828980837,140,,
400,0.44,0.1,1130997,1.3297301189585389,70,,
400,0.44,0.1,1110741,1.5000844160307765,70,,
