temps(ms),iterations,C,alpha,nombre d'enfants,simulations noeud racine,simulations noeud enfant sélectionné,position noeud racine,position noeud enfant sélectionné,recompenses,
50,6501,3.0,0.4,101,6501,69,0.7619045436736287,1.7360196201052815,170.0,
50,5930,3.0,0.4,97,5930,62,0.0,0.5498537457418341,70.0,
50,6450,3.0,0.4,101,6450,66,0.5498537457418341,0.6322660414115817,140.0,
50,6030,3.0,0.4,98,6030,62,0.0,0.49477339406211673,70.0,
50,6501,3.0,0.4,101,6501,66,0.49477339406211673,0.8715250553336518,140.0,
50,5894,3.0,0.4,97,5894,61,0.0,0.4777590007347069,70.0,
50,6498,3.0,0.4,101,6498,66,0.4777590007347069,0.4892316648997451,140.0,
50,5945,3.0,0.4,98,5945,62,0.0,0.9790238854651498,70.0,
50,6128,3.0,0.4,99,6128,65,0.9790238854651498,1.9334816574383584,170.0,
50,5972,3.0,0.4,98,5972,62,0.0,0.912142415233618,70.0,
50,6452,3.0,0.4,101,6452,68,0.912142415233618,1.8054619734531105,170.0,
50,5917,3.0,0.4,97,5917,61,0.0,0.958479426565145,70.0,
50,6441,3.0,0.4,101,6441,67,0.958479426565145,1.955450430156739,170.0,
50,5993,3.0,0.4,98,5993,62,0.0,0.198282922707254,70.0,
50,6535,3.0,0.4,101,6535,66,0.198282922707254,0.7133874764373709,140.0,
50,5951,3.0,0.4,98,5951,62,0.0,0.6488726042416041,70.0,
50,6492,3.0,0.4,101,6492,67,0.6488726042416041,0.9380316901835597,140.0,
50,5908,3.0,0.4,97,5908,61,0.0,0.4128519330144399,70.0,
50,6507,3.0,0.4,101,6507,66,0.4128519330144399,0.5703088862219685,140.0,
50,5951,3.0,0.4,98,5951,62,0.0,0.5272640381287959,70.0,
50,6496,3.0,0.4,101,6496,67,0.5272640381287959,0.615542567002382,140.0,
50,5917,3.0,0.4,97,5917,61,0.0,0.41289255949344694,70.0,
50,6500,3.0,0.4,101,6500,66,0.41289255949344694,0.883947334749818,140.0,
50,5966,3.0,0.4,98,5966,62,0.0,0.5595485385288002,70.0,
50,6511,3.0,0.4,101,6511,67,0.5595485385288002,0.7251425520697491,140.0,
50,5961,3.0,0.4,98,5961,62,0.0,0.27802015065729424,70.0,
50,6535,3.0,0.4,101,6535,66,0.27802015065729424,0.642434549145945,140.0,
50,5908,3.0,0.4,97,5908,61,0.0,0.2202898785261237,70.0,
50,6502,3.0,0.4,101,6502,66,0.2202898785261237,0.7941899264840168,140.0,
50,5997,3.0,0.4,98,5997,62,0.0,0.4576275872187284,70.0,
50,6486,3.0,0.4,101,6486,66,0.4576275872187284,0.9016135971316871,140.0,
50,5991,3.0,0.4,98,5991,62,0.0,0.1570405450887038,70.0,
50,6535,3.0,0.4,101,6535,66,0.1570405450887038,0.8099410264799792,140.0,
50,5899,3.0,0.4,97,5899,61,0.0,0.570614568073803,70.0,
50,6507,3.0,0.4,101,6507,67,0.570614568073803,0.9676643257580454,140.0,
50,5991,3.0,0.4,98,5991,62,0.0,0.04511411363238138,70.0,
50,6539,3.0,0.4,101,6539,65,0.04511411363238138,0.25736975153957464,140.0,
50,6004,3.0,0.4,98,6004,62,0.0,0.8696235524722262,70.0,
50,6432,3.0,0.4,101,6432,67,0.8696235524722262,1.836215944867916,170.0,
50,5856,3.0,0.4,97,5856,61,0.0,0.28778784104413857,70.0,
50,6519,3.0,0.4,101,6519,66,0.28778784104413857,0.7584190189854638,140.0,
50,5906,3.0,0.4,97,5906,61,0.0,0.05479779591744738,70.0,
50,6509,3.0,0.4,101,6509,65,0.05479779591744738,0.9796992008469234,140.0,
50,5996,3.0,0.4,98,5996,62,0.0,0.5906866981302475,70.0,
50,6470,3.0,0.4,101,6470,67,0.5906866981302475,0.9722313619337787,140.0,
50,6012,3.0,0.4,98,6012,62,0.0,0.9422701114902906,70.0,
50,6266,3.0,0.4,100,6266,66,0.9422701114902906,1.7995441165489026,170.0,
50,5885,3.0,0.4,97,5885,61,0.0,0.10189281335681277,70.0,
50,6533,3.0,0.4,101,6533,65,0.10189281335681277,0.9719329911248282,140.0,
50,6047,3.0,0.4,98,6047,62,0.0,0.8015505782055451,70.0,
50,6468,3.0,0.4,101,6468,68,0.8015505782055451,1.795955355178657,170.0,
50,6034,3.0,0.4,98,6034,62,0.0,0.581934453216405,70.0,
50,6469,3.0,0.4,101,6469,66,0.581934453216405,0.9084915007663069,140.0,
50,6013,3.0,0.4,98,6013,62,0.0,0.08878400647478013,70.0,
50,6450,3.0,0.4,101,6450,65,0.08878400647478013,0.19636814707868633,140.0,
50,5911,3.0,0.4,97,5911,61,0.0,0.11068890744403881,70.0,
50,6511,3.0,0.4,101,6511,65,0.11068890744403881,0.8561286435352738,140.0,
50,6019,3.0,0.4,98,6019,62,0.0,0.36737800735926185,70.0,
50,6518,3.0,0.4,101,6518,66,0.36737800735926185,0.8204485269848195,140.0,
50,5837,3.0,0.4,97,5837,61,0.0,0.10953549422847264,70.0,
50,6519,3.0,0.4,101,6519,65,0.10953549422847264,0.7686776079276183,140.0,
50,5979,3.0,0.4,98,5979,62,0.0,0.8025232604847725,70.0,
50,6465,3.0,0.4,101,6465,69,0.8025232604847725,1.7986922666710559,170.0,
50,5969,3.0,0.4,98,5969,62,0.0,0.5699290467291279,70.0,
50,6531,3.0,0.4,101,6531,67,0.5699290467291279,0.9349789924312542,140.0,
50,5940,3.0,0.4,97,5940,62,0.0,0.48353351896696084,70.0,
50,6526,3.0,0.4,101,6526,67,0.48353351896696084,0.5033116847556636,140.0,
50,5995,3.0,0.4,98,5995,62,0.0,0.37198879387157247,70.0,
50,6458,3.0,0.4,101,6458,66,0.37198879387157247,0.40131354536794606,140.0,
50,6030,3.0,0.4,98,6030,62,0.0,0.17301867772884338,70.0,
50,6485,3.0,0.4,101,6485,65,0.17301867772884338,0.6414147415903705,140.0,
50,5923,3.0,0.4,97,5923,62,0.0,0.09863083604014045,70.0,
50,6488,3.0,0.4,101,6488,65,0.09863083604014045,0.8660747742451169,140.0,
50,5960,3.0,0.4,98,5960,62,0.0,0.5714624330095517,70.0,
50,6461,3.0,0.4,101,6461,66,0.5714624330095517,0.7053698500771106,140.0,
50,6032,3.0,0.4,98,6032,62,0.0,0.05564795656455224,70.0,
50,6509,3.0,0.4,101,6509,65,0.05564795656455224,0.37299520468348446,140.0,
50,6004,3.0,0.4,98,6004,62,0.0,0.7307612168614787,70.0,
50,6483,3.0,0.4,101,6483,68,0.7307612168614787,1.7184445949360252,170.0,
50,5924,3.0,0.4,97,5924,62,0.0,0.5697193681989325,70.0,
50,6500,3.0,0.4,101,6500,67,0.5697193681989325,0.6221355841748676,140.0,
50,5934,3.0,0.4,97,5934,62,0.0,0.2418580752105297,70.0,
50,6528,3.0,0.4,101,6528,66,0.2418580752105297,0.46036892657696316,140.0,
50,5848,3.0,0.4,97,5848,61,0.0,0.05181920608151791,70.0,
50,6233,3.0,0.4,99,6233,64,0.05181920608151791,0.31772737818025576,140.0,
50,5918,3.0,0.4,97,5918,62,0.0,0.9253648639181947,70.0,
50,6473,3.0,0.4,101,6473,67,0.9253648639181947,1.8490118568805334,170.0,
50,5924,3.0,0.4,97,5924,62,0.0,0.6255610099431667,70.0,
50,6507,3.0,0.4,101,6507,67,0.6255610099431667,0.6969160397788223,140.0,
50,5997,3.0,0.4,98,5997,62,0.0,0.9407500095112455,70.0,
50,6457,3.0,0.4,101,6457,67,0.9407500095112455,1.839649194671699,170.0,
50,5989,3.0,0.4,98,5989,62,0.0,0.9939078955726134,70.0,
50,6435,3.0,0.4,101,6435,68,0.9939078955726134,1.887976968701296,170.0,
50,6052,3.0,0.4,98,6052,62,0.0,0.018105246752862292,70.0,
50,6520,3.0,0.4,101,6520,65,0.018105246752862292,0.6720213217712675,140.0,
50,5936,3.0,0.4,97,5936,62,0.0,0.1805338353683127,70.0,
50,6549,3.0,0.4,101,6549,66,0.1805338353683127,0.9698828851289188,140.0,
50,5879,3.0,0.4,97,5879,61,0.0,0.8354422983117412,70.0,
50,6482,3.0,0.4,101,6482,67,0.8354422983117412,1.7341917161324414,170.0,
50,5910,3.0,0.4,97,5910,61,0.0,0.12675455591441442,70.0,
50,6352,3.0,0.4,100,6352,64,0.12675455591441442,0.23520449486553907,140.0,
50,5951,3.0,0.4,98,5951,62,0.0,0.16175658905612023,70.0,
50,6520,3.0,0.4,101,6520,65,0.16175658905612023,0.3938258598214611,140.0,
50,5989,3.0,0.4,98,5989,62,0.0,0.062418590755556114,70.0,
50,6524,3.0,0.4,101,6524,65,0.062418590755556114,0.9519359877355809,140.0,
50,6021,3.0,0.4,98,6021,62,0.0,0.08238873655787682,70.0,
50,6494,3.0,0.4,101,6494,65,0.08238873655787682,0.5071686959387541,140.0,
50,5905,3.0,0.4,97,5905,61,0.0,0.2689240337175488,70.0,
50,6469,3.0,0.4,101,6469,65,0.2689240337175488,0.7796769977533332,140.0,
50,5983,3.0,0.4,98,5983,62,0.0,0.9920819558672941,70.0,
50,6386,3.0,0.4,100,6386,67,0.9920819558672941,1.7800937945066924,170.0,
50,6009,3.0,0.4,98,6009,62,0.0,0.06620660715989313,70.0,
50,6555,3.0,0.4,101,6555,66,0.06620660715989313,0.6373634993658714,140.0,
50,5918,3.0,0.4,97,5918,62,0.0,0.5361488839122164,70.0,
50,6530,3.0,0.4,101,6530,67,0.5361488839122164,0.931752554396196,140.0,
50,5966,3.0,0.4,98,5966,62,0.0,0.691808451608271,70.0,
50,6487,3.0,0.4,101,6487,66,0.691808451608271,0.7330663420268793,140.0,
50,5820,3.0,0.4,97,5820,61,0.0,0.8315123015788571,70.0,
50,6473,3.0,0.4,101,6473,68,0.8315123015788571,1.8295440701004146,170.0,
50,5991,3.0,0.4,98,5991,62,0.0,0.43046994364193925,70.0,
50,6482,3.0,0.4,101,6482,66,0.43046994364193925,0.9197356566988042,140.0,
50,5992,3.0,0.4,98,5992,62,0.0,0.8900645677762407,70.0,
50,5821,3.0,0.4,97,5821,64,0.8900645677762407,1.7573395672805896,170.0,
50,5991,3.0,0.4,98,5991,62,0.0,0.11636605088325236,70.0,
50,6431,3.0,0.4,101,6431,65,0.11636605088325236,0.35891755624959243,140.0,
50,5983,3.0,0.4,98,5983,62,0.0,0.27665947693013726,70.0,
50,6536,3.0,0.4,101,6536,66,0.27665947693013726,0.376386545932322,140.0,
